secteur,taille,localisation,anciennete_annees,nb_employes,chiffre_affaires,nb_transactions_mois,montant_moyen_transaction,pct_cash,pct_mobile_money,pct_banque,diversification_paiement,pct_transactions_usd,charges_exploitation,resultat_net,marge_nette,solde_caisse_moyen,entrees_tresorerie_mois,sorties_tresorerie_mois,flux_tresorerie_net,remboursements_dettes_mois,variabilite_ca,ratio_liquidite,ratio_endettement,couverture_dette,nb_retards_paiement_12m,jours_retard_moyen,nb_factures_impayees,taux_recouvrement_creances,delai_paiement_fournisseurs,delai_recouvrement_jours,creances_sur_ca,regularite_paiement_mobile,regularite_paiement_fournisseurs,pct_activite_informelle,ecart_taux_change,appartenance_association,score_reseau_communautaire,pct_clients_recurrents,score_reputation_terrain,part_credit_informel,exposition_zones_instables,diversification_activites,stock_securite_jours,score_debrouillardise,usage_whatsapp_business,social_media_abonnes,social_media_sentiment,social_media_freq_publication,conso_energie_kwh,tendance_energie,conso_eau_m3,trafic_web_mensuel,nb_avis_en_ligne,note_avis_moyenne,regularite_paiement_energie,regularite_paiement_eau,regularite_paiement_loyer,default
Commerce,Micro,Matadi,0.5,5,8709923.0,72,10081.0,0.7453,0.1357,0.119,0.412,0.471,6974625.0,1735298.0,0.1992,1184945.0,809230.0,609160.0,200070.0,93717.0,0.6752,1.12,1.73,1.11,0,11.0,5,0.6161,43.0,15.0,0.8793,0.9139,0.4085,0.7699,0.0704,0,0.505,0.8773,0.3707,0.4873,0.4536,0.1281,16.0,0.8021,1,286.0,-0.0699,7,1101.0,-0.0111,10.0,2863.0,6,5.0,0.5448,0.587,0.4467,0
TIC,Petite,Mbuji-Mayi,0.9,3,28938691.0,66,36539.0,0.8328,0.1258,0.0414,0.2889,0.6337,25709628.0,3229063.0,0.1116,3228599.0,2019839.0,1640508.0,379331.0,356940.0,0.5581,0.79,0.13,2.53,1,12.0,6,0.7056,35.0,90.0,0.7831,0.5544,0.6345,0.9599,0.0626,0,0.516,0.6865,0.9403,0.1514,0.0981,0.2296,5.0,0.8514,1,24.0,0.3435,3,221.0,0.2671,10.0,48.0,5,4.1,0.6646,0.411,0.3711,0
Construction,Petite,Matadi,20.8,13,45006726.0,82,45739.0,0.8245,0.1572,0.0182,0.2952,0.2298,38016541.0,6990185.0,0.1553,4227257.0,3287153.0,3256215.0,30938.0,1072346.0,0.5253,0.83,2.49,1.43,4,17.0,4,0.2655,55.0,37.0,1.2636,0.7148,0.7533,0.6452,0.0036,0,0.6028,0.5518,0.7017,0.707,0.2846,0.3062,8.0,0.9,0,53.0,0.2934,6,256.0,0.0565,46.0,60.0,7,3.1,0.9134,0.3299,0.4653,1
Commerce,Petite,Lubumbashi,3.2,5,7727031.0,77,8363.0,0.8061,0.1734,0.0204,0.3197,0.2932,5648166.0,2078865.0,0.269,976826.0,587580.0,556149.0,31431.0,79877.0,0.2157,0.39,1.55,0.58,1,8.0,2,0.7031,41.0,58.0,0.721,0.6549,0.7622,0.4908,0.1339,0,0.7468,0.8273,0.5412,0.492,0.2334,0.4664,16.0,0.4335,0,17.0,-0.0552,11,1006.0,-0.1146,49.0,508.0,15,2.2,0.6544,0.4616,0.8826,0
Commerce,Micro,Goma,10.1,2,11059062.0,69,13356.0,0.8417,0.1545,0.0038,0.2677,0.5223,8168175.0,2890887.0,0.2614,1422482.0,910745.0,832552.0,78193.0,144816.0,0.3071,0.81,0.88,1.24,0,7.0,3,0.8056,36.0,66.0,0.9367,0.5921,0.7625,0.824,0.0482,1,0.2114,0.7399,0.4614,0.5163,0.097,0.4049,22.0,0.4912,0,36.0,0.924,17,468.0,0.0204,13.0,4.0,9,4.7,0.7315,0.3155,0.5813,0
Commerce,Micro,Kinshasa,9.4,11,7428157.0,97,6382.0,0.6887,0.2242,0.0871,0.4678,0.4221,5009806.0,2418351.0,0.3256,721730.0,640239.0,642145.0,-1906.0,174099.0,0.1419,0.51,2.73,2.07,4,21.0,1,0.4618,81.0,82.0,1.174,0.537,0.3002,0.8432,0.0284,0,0.3283,0.8058,0.4702,0.659,0.4613,0.2819,17.0,0.6869,1,27.0,-0.2488,6,518.0,-0.1388,14.0,367.0,13,2.1,0.9499,0.2247,0.5767,0
Agriculture,Micro,Kinshasa,3.6,2,2964979.0,86,2873.0,0.7866,0.1505,0.0629,0.3547,0.3185,1643530.0,1321449.0,0.4457,178921.0,227828.0,201067.0,26761.0,49105.0,0.3263,1.14,1.29,1.98,4,10.0,3,0.8559,60.0,29.0,0.656,0.5311,0.4546,0.8979,0.0085,1,0.5729,0.7875,0.9049,0.6277,0.192,0.2223,35.0,0.754,0,227.0,0.2379,3,1100.0,-0.1279,12.0,571.0,8,4.2,0.8197,0.5161,0.3085,0
Manufacture,Micro,Kinshasa,6.1,2,11254825.0,71,13210.0,0.8897,0.0752,0.035,0.2016,0.5232,6791369.0,4463456.0,0.3966,1513455.0,791488.0,660132.0,131356.0,93091.0,0.3388,0.7,1.08,0.83,0,13.0,1,0.5852,43.0,61.0,0.6138,0.72,0.7061,0.6056,0.017,0,0.5661,0.8875,0.8396,0.3262,0.4464,0.2601,3.0,0.7307,0,72.0,0.6245,11,150.0,0.0488,10.0,3.0,9,2.9,0.8671,0.9001,0.5281,0
Agriculture,Petite,Kinshasa,1.1,19,10271534.0,87,9839.0,0.7858,0.2122,0.002,0.3375,0.3307,6909737.0,3361797.0,0.3273,672593.0,858452.0,859821.0,-1369.0,242758.0,0.5636,2.33,1.97,2.82,1,7.0,2,0.6688,51.0,64.0,0.5732,0.4634,0.3899,0.5851,0.1061,0,0.8564,0.9285,0.7223,0.2199,0.6003,0.3588,21.0,0.6464,0,301.0,0.1742,9,712.0,-0.1075,5.0,2430.0,10,3.6,0.8431,0.8757,0.5947,1
Commerce,Moyenne,Kinshasa,5.8,2,3227528.0,62,4338.0,0.736,0.2315,0.0326,0.4036,0.6129,2498699.0,728829.0,0.2258,137184.0,221566.0,186311.0,35255.0,19995.0,0.2013,1.99,0.83,2.02,1,13.0,4,0.9439,64.0,45.0,1.5465,0.4367,0.2273,0.6985,0.0118,1,0.4701,0.8287,0.561,0.6984,0.267,0.4358,24.0,0.4341,0,790.0,0.2111,12,2267.0,0.0188,6.0,14.0,4,2.1,0.401,0.6347,0.4565,0
Manufacture,Petite,Kinshasa,1.6,1,31810186.0,77,34427.0,0.7662,0.1861,0.0477,0.376,0.2988,25899605.0,5910581.0,0.1858,2949208.0,2506270.0,2523208.0,-16938.0,590093.0,0.4089,0.59,0.82,2.67,1,16.0,1,0.8282,22.0,15.0,1.1241,0.5434,0.8516,0.8111,0.1093,0,0.6653,0.7753,0.9235,0.1269,0.1906,0.5901,28.0,0.8898,0,317.0,0.2819,14,533.0,0.0395,23.0,302.0,12,3.6,0.4899,0.6741,0.4767,0
Commerce,Micro,Kinshasa,8.9,12,26166351.0,78,27956.0,0.8237,0.1329,0.0435,0.302,0.8018,23017926.0,3148425.0,0.1203,810529.0,1782929.0,1691926.0,91003.0,250086.0,0.2398,0.74,1.52,1.74,1,4.0,3,0.6251,10.0,30.0,0.5272,0.8552,0.6036,0.7937,0.1643,0,0.5534,0.4464,0.8854,0.2152,0.3704,0.2125,3.0,0.7393,0,251.0,-0.1422,6,1698.0,-0.0003,34.0,14.0,12,3.9,0.7257,0.8445,0.7314,0
Commerce,Moyenne,Matadi,0.5,5,33762580.0,84,33495.0,0.8518,0.142,0.0063,0.2542,0.7669,25496531.0,8266049.0,0.2448,1601417.0,2497083.0,2345835.0,151248.0,1270230.0,0.2421,1.16,1.01,2.57,1,38.0,0,0.3646,25.0,57.0,0.9845,0.5643,0.6292,0.4461,0.0282,0,0.7259,0.6501,0.8333,0.3444,0.0612,0.2025,11.0,0.6417,0,23.0,0.0799,6,445.0,-0.0036,8.0,1157.0,10,3.4,0.1359,0.3376,0.6264,0
Agriculture,Petite,Kinshasa,7.4,6,5828764.0,63,7710.0,0.8773,0.1203,0.0024,0.2159,0.8007,4055841.0,1772923.0,0.3042,758792.0,409985.0,317297.0,92688.0,52479.0,0.0474,1.19,2.46,1.23,2,11.0,4,0.8754,31.0,15.0,1.522,0.9017,0.6428,0.6123,0.0134,1,0.4408,0.6712,0.536,0.4271,0.2698,0.4038,28.0,0.4295,1,115.0,0.3378,4,278.0,0.0742,53.0,516.0,12,4.1,0.7729,0.932,0.8371,0
Agriculture,Moyenne,Mbuji-Mayi,0.5,5,1355538.0,76,1486.0,0.6961,0.1994,0.1044,0.4648,0.8055,1092318.0,263220.0,0.1942,100654.0,110538.0,98735.0,11803.0,29783.0,0.2483,1.47,2.63,2.13,1,7.0,2,0.8476,37.0,72.0,0.9498,0.8736,0.2635,0.8082,0.059,1,0.5999,0.548,0.51,0.5599,0.317,0.6701,3.0,0.528,0,82.0,0.1591,7,72.0,-0.0512,7.0,52.0,14,3.0,0.339,0.7392,0.4005,0
Services,Petite,Kinshasa,10.7,8,25669071.0,85,25166.0,0.7987,0.1998,0.0015,0.3222,0.4671,17839715.0,7829356.0,0.305,2143737.0,1912658.0,1648725.0,263933.0,160672.0,0.2006,0.97,4.45,0.94,1,18.0,4,0.6012,62.0,80.0,0.205,0.5446,0.3395,0.568,0.102,0,0.4144,0.3104,0.7416,0.0351,0.3107,0.3912,30.0,0.5983,1,37.0,0.1562,11,50.0,0.0683,58.0,53.0,10,4.1,0.6021,0.5042,0.4431,1
Commerce,Micro,Matadi,1.8,4,6603199.0,87,6325.0,0.7697,0.2179,0.0124,0.3599,0.2975,3896792.0,2706407.0,0.4099,594531.0,452257.0,464988.0,-12731.0,273844.0,0.2209,0.35,1.52,2.7,1,42.0,5,0.8307,47.0,66.0,0.8391,0.7475,0.8387,0.2223,0.0552,0,0.5897,0.8919,0.8677,0.5926,0.1862,0.4367,4.0,0.554,1,19.0,0.3009,10,190.0,-0.0389,5.0,1182.0,11,2.1,0.3118,0.7408,0.4114,0
Manufacture,Micro,Matadi,5.3,24,5031347.0,69,6077.0,0.7272,0.1336,0.1391,0.434,0.6178,2774898.0,2256449.0,0.4485,423062.0,385426.0,290511.0,94915.0,128413.0,0.3225,0.82,1.42,-0.3,1,12.0,3,0.6077,63.0,69.0,1.0462,0.4723,0.8961,0.6833,0.0187,0,0.8006,0.9278,0.7865,0.4797,0.2914,0.5738,23.0,0.1925,0,1.0,0.145,10,576.0,-0.0607,58.0,432.0,8,3.1,0.5282,0.5492,0.6279,0
Manufacture,Petite,Bukavu,3.3,2,3241466.0,100,2701.0,0.8323,0.1037,0.064,0.2924,0.5379,2632415.0,609051.0,0.1879,156657.0,312550.0,290955.0,21595.0,62372.0,0.1274,0.84,0.53,2.83,2,6.0,2,0.5594,65.0,43.0,0.526,0.9325,0.7037,0.8463,0.1443,0,0.4725,0.8132,0.6181,0.7333,0.3434,0.5241,1.0,0.8426,1,2.0,0.2384,5,67.0,-0.097,33.0,621.0,8,3.4,0.4727,0.617,0.5828,0
Commerce,Micro,Bukavu,2.3,10,10528674.0,71,12358.0,0.8503,0.1272,0.0225,0.2603,0.5769,9293291.0,1235383.0,0.1173,1464431.0,997556.0,871498.0,126058.0,56994.0,0.1695,1.09,1.3,0.13,1,16.0,3,0.7667,39.0,29.0,0.4344,0.7558,0.7846,0.6325,0.0651,0,0.7078,0.4407,0.774,0.7871,0.0835,0.247,1.0,0.5276,0,1204.0,0.2496,8,443.0,0.0072,23.0,1471.0,11,4.6,0.7532,0.2932,0.2485,0
Manufacture,Micro,Kinshasa,5.2,12,97249729.0,96,84418.0,0.7512,0.2096,0.0392,0.3902,0.5812,77886246.0,19363483.0,0.1991,10531342.0,9345141.0,9265341.0,79800.0,1670830.0,0.256,1.57,0.29,-0.18,3,38.0,3,0.6134,44.0,64.0,0.6559,0.6915,0.913,0.9235,0.0007,1,0.6165,0.5026,0.67,0.8682,0.0931,0.6212,3.0,0.6501,0,566.0,0.428,15,388.0,0.0292,26.0,108.0,10,4.1,0.9084,0.3966,0.6685,0
Commerce,Petite,Kolwezi,14.7,4,7988077.0,73,9119.0,0.8027,0.1761,0.0212,0.3242,0.7933,4474884.0,3513193.0,0.4398,835854.0,636809.0,636991.0,-182.0,134425.0,0.0032,1.64,1.84,0.56,3,3.0,5,0.6748,64.0,74.0,0.9681,0.2821,0.387,0.6334,0.0238,1,0.4736,0.7282,0.7391,0.1058,0.2698,0.3697,3.0,0.8353,0,40.0,-0.1992,10,2919.0,0.0327,23.0,267.0,9,4.0,0.8452,0.5491,0.5124,0
Commerce,Petite,Kisangani,0.5,3,3961908.0,82,4026.0,0.8739,0.0921,0.0339,0.2267,0.5244,2500657.0,1461251.0,0.3688,510164.0,380188.0,338081.0,42107.0,65879.0,0.5133,1.28,0.6,1.62,3,11.0,2,0.8578,46.0,48.0,0.6834,0.8586,0.7008,0.6558,0.0178,0,0.9738,0.8912,0.6506,0.5119,0.1283,0.4459,11.0,0.8271,1,880.0,0.3573,7,166.0,-0.0399,78.0,227.0,6,3.2,0.5615,0.5944,0.4023,0
TIC,Petite,Matadi,12.6,16,32034374.0,64,41711.0,0.7719,0.1475,0.0806,0.3759,0.377,28835944.0,3198430.0,0.0998,3458407.0,3151655.0,2514751.0,636904.0,67191.0,0.161,0.9,0.3,1.77,2,4.0,4,0.683,41.0,18.0,0.6123,0.8154,0.6601,0.5925,0.1462,1,0.5823,0.9441,0.7705,0.5302,0.3167,0.6158,18.0,0.3308,0,288.0,-0.0797,6,186.0,-0.0327,27.0,10480.0,5,3.9,0.6329,0.7137,0.8032,0
TIC,Micro,Bukavu,4.7,3,18026884.0,66,22761.0,0.7898,0.1953,0.0149,0.3379,0.2283,14648427.0,3378457.0,0.1874,644331.0,1777477.0,1442123.0,335354.0,548087.0,0.2252,1.09,1.09,1.96,1,11.0,5,0.7643,32.0,76.0,0.6448,0.5544,0.9288,0.976,0.0181,0,0.3977,0.5317,0.8664,0.5728,0.3312,0.8809,42.0,0.5813,0,29.0,0.5304,5,205.0,-0.1201,28.0,1254.0,11,4.6,0.7178,0.4565,0.7956,0
Construction,Micro,Lubumbashi,8.2,4,1151802.0,80,1200.0,0.6997,0.1021,0.1983,0.4607,0.6474,947772.0,204030.0,0.1771,73870.0,81556.0,78880.0,2676.0,31760.0,0.2571,0.71,1.31,0.95,0,22.0,4,0.8747,36.0,65.0,0.9813,0.8792,0.2422,0.8676,0.0178,1,0.9531,0.834,0.8535,0.2937,0.3514,0.2386,16.0,0.4589,0,1.0,0.7878,9,483.0,-0.0462,36.0,50.0,13,2.1,0.7533,0.4495,0.8138,0
Agriculture,Petite,Matadi,2.4,15,32437171.0,63,42906.0,0.7217,0.2276,0.0506,0.4248,0.3378,27517749.0,4919422.0,0.1517,2224173.0,3052908.0,3043458.0,9450.0,138454.0,0.1773,1.79,0.56,1.42,2,24.0,7,0.688,45.0,97.0,2.0716,0.4772,0.1644,0.9437,0.0389,0,0.8208,0.7356,0.5943,0.1232,0.2408,0.676,28.0,0.4914,0,59.0,0.6765,14,564.0,0.0456,51.0,118.0,8,3.5,0.6828,0.8737,0.6005,0
Commerce,Moyenne,Kinshasa,3.2,7,188415714.0,78,201299.0,0.7833,0.2039,0.0129,0.3447,0.5518,167248512.0,21167202.0,0.1123,20231932.0,14674584.0,12619755.0,2054829.0,742734.0,0.5351,0.82,2.31,1.2,4,1.0,4,0.7906,25.0,63.0,0.9915,0.6641,0.4748,0.6648,0.0021,0,0.5554,0.8104,0.6633,0.4956,0.1728,0.362,6.0,0.7978,1,1340.0,0.3472,1,2356.0,-0.0086,37.0,33.0,10,2.9,0.7879,0.6023,0.5466,0
Services,Petite,Goma,10.2,1,646518.0,82,657.0,0.698,0.2344,0.0675,0.4533,0.5445,460647.0,185871.0,0.2875,72197.0,52794.0,45396.0,7398.0,8473.0,0.573,0.98,0.21,1.44,3,5.0,5,0.8364,33.0,79.0,1.2766,0.6145,0.3126,0.5902,0.0374,0,0.3754,0.791,0.7196,0.6832,0.2493,0.4322,9.0,0.6439,1,49.0,0.3509,8,690.0,-0.0472,13.0,6623.0,12,3.2,0.7952,0.6435,0.4774,0
Agriculture,Moyenne,Kinshasa,2.7,29,3325574.0,73,3796.0,0.7709,0.2145,0.0146,0.3595,0.7313,2358339.0,967235.0,0.2908,307080.0,294378.0,235610.0,58768.0,11587.0,0.3643,0.39,6.76,1.79,0,3.0,3,0.9221,27.0,108.0,0.9651,0.6296,0.2674,0.7071,0.1171,0,0.4807,0.7424,0.7615,0.6096,0.3644,0.5236,3.0,0.6562,0,124.0,0.0842,5,2121.0,-0.0187,11.0,769.0,18,4.4,0.4789,0.6827,0.425,0
Commerce,Petite,Matadi,3.8,4,500000.0,82,508.0,0.8485,0.1089,0.0426,0.2664,0.6825,279272.0,220728.0,0.4415,35990.0,45961.0,43535.0,2426.0,14961.0,0.5618,0.9,1.8,1.4,2,5.0,2,0.431,50.0,118.0,0.4679,0.4678,0.3704,0.5852,0.0119,0,0.7651,0.7892,0.4806,0.2355,0.3487,0.2405,8.0,0.7276,0,150.0,0.7178,9,1249.0,-0.0207,29.0,114.0,13,3.1,0.8205,0.9151,0.2566,0
Agriculture,Petite,Kinshasa,0.5,5,13384859.0,77,14486.0,0.7783,0.2033,0.0184,0.3526,0.5214,12002846.0,1382013.0,0.1033,1792412.0,1293782.0,1017026.0,276756.0,301023.0,0.2106,1.71,0.6,1.66,4,9.0,0,0.8916,82.0,43.0,0.3391,0.5925,0.5487,0.4046,0.0096,0,0.5088,0.6324,0.9346,0.1476,0.1369,0.6578,24.0,0.7941,1,81.0,0.3862,7,788.0,-0.2249,5.0,376.0,9,4.2,0.4889,0.8411,0.6703,0
Commerce,Micro,Kinshasa,0.9,9,48084166.0,90,44522.0,0.8726,0.1245,0.003,0.2231,0.8948,28768238.0,19315928.0,0.4017,4430466.0,4740793.0,4555864.0,184929.0,1811287.0,0.5557,0.97,0.71,0.42,2,1.0,3,0.7766,72.0,83.0,0.726,0.5173,0.5585,0.8806,0.0586,0,0.5813,0.6662,0.6592,0.1897,0.3222,0.7194,4.0,0.6606,1,7.0,-0.1141,2,683.0,0.03,20.0,55.0,12,3.9,0.8212,0.7413,0.7772,1
Transport,Petite,Goma,5.1,12,16628039.0,79,17540.0,0.8185,0.1646,0.0169,0.3027,0.5811,11918107.0,4709932.0,0.2833,2113417.0,1535315.0,1426978.0,108337.0,315704.0,0.407,0.79,1.25,2.31,2,10.0,2,0.4934,45.0,61.0,0.716,0.6869,0.8646,0.6981,0.011,0,0.5197,0.6367,0.8938,0.6259,0.2473,0.5974,1.0,0.7025,0,767.0,0.2559,5,530.0,0.0585,21.0,969.0,10,3.8,0.8379,0.2964,0.5903,0
Commerce,Petite,Mbuji-Mayi,6.3,35,77857815.0,95,68296.0,0.8769,0.1112,0.0119,0.2185,0.4999,60107493.0,17750322.0,0.228,10940499.0,5814002.0,5774349.0,39653.0,668551.0,0.4598,2.15,1.04,2.01,1,20.0,2,0.8703,36.0,42.0,0.461,0.7811,0.9046,0.7191,0.0949,0,0.3726,0.6226,0.5668,0.1654,0.4118,0.4848,17.0,0.7102,0,95.0,0.1251,11,88.0,-0.0824,44.0,147.0,15,4.4,0.8649,0.9889,0.3916,0
Services,Petite,Goma,4.4,1,39692005.0,72,45940.0,0.7553,0.2162,0.0284,0.382,0.2728,36424401.0,3267604.0,0.0823,2975761.0,3318786.0,3085003.0,233783.0,607482.0,0.2713,0.6,0.89,1.69,3,10.0,3,0.7881,29.0,59.0,0.7616,0.4121,0.5388,0.8634,0.0095,0,0.7077,0.7726,0.543,0.4437,0.2802,0.4988,6.0,0.5926,0,187.0,0.1515,3,170.0,-0.0501,40.0,118.0,8,2.6,0.7743,0.225,0.5372,0
Agriculture,Micro,Kinshasa,0.8,14,112963666.0,76,123864.0,0.8013,0.1918,0.0069,0.3211,0.8243,78818697.0,34144969.0,0.3023,6529276.0,8832576.0,7173748.0,1658828.0,4197142.0,0.1464,0.64,1.98,0.85,1,16.0,2,0.768,43.0,38.0,0.78,0.546,0.7706,0.6698,0.1439,0,0.3975,0.6633,0.6037,0.3706,0.3775,0.5568,5.0,0.8542,1,693.0,0.2359,7,611.0,0.2752,8.0,151.0,9,3.3,0.7453,0.7842,0.8937,0
Manufacture,Petite,Kinshasa,2.9,13,58953109.0,76,64642.0,0.8074,0.149,0.0436,0.324,0.3236,47010570.0,11942539.0,0.2026,4030185.0,5630189.0,5199888.0,430301.0,1226751.0,0.3751,0.48,3.38,0.91,3,23.0,3,0.8605,48.0,64.0,0.4678,0.4015,0.6996,0.7166,0.023,1,0.6738,0.6058,0.7736,0.3142,0.1248,0.464,8.0,0.6965,0,467.0,0.6352,8,506.0,-0.0269,8.0,6.0,7,3.3,0.7602,0.7319,0.7312,0
Manufacture,Micro,Mbuji-Mayi,2.2,6,9033661.0,93,8095.0,0.6694,0.3079,0.0226,0.4566,0.3921,8152803.0,880858.0,0.0975,277848.0,751387.0,767519.0,-16132.0,212862.0,0.2134,1.92,0.62,1.33,2,40.0,8,0.7067,50.0,83.0,0.6788,0.6004,0.5676,0.5,0.0039,1,0.7911,0.4661,0.6142,0.6538,0.2821,0.7465,16.0,0.8083,1,426.0,-0.0026,8,202.0,0.1025,12.0,92.0,11,3.2,0.9281,0.5278,0.7258,0
